og	gos
COG0364	GO:0006006,GO:0008152,GO:0044710,GO:0055114,GO:0071704,GO:0044238,GO:0005975,GO:0044723,GO:0005996,GO:0019318,GO:0009987,GO:0044237,GO:0019637,GO:0006796,GO:0006793,GO:0044281,GO:1901564,GO:0006807,GO:0034641,GO:1901360,GO:0006098,GO:0055086,GO:0046483,GO:0046496,GO:0051186,GO:0006753,GO:0006739,GO:0006732,GO:0006733,GO:0006139,GO:0006725,GO:0072524,GO:0009117,GO:0019362,GO:0006740,GO:0016052,GO:0019320,GO:1901575,GO:0044724,GO:0006007,GO:0046365,GO:0009056
COG0593	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737
COG1304	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737
COG3830	GO:0016311,GO:0008152,GO:0044281,GO:0044283,GO:0044710,GO:0044711,GO:0043436,GO:0009070,GO:1901564,GO:1901566,GO:0016053,GO:0006807,GO:0009069,GO:1901576,GO:0006564,GO:0006563,GO:0008652,GO:0046394,GO:0009058,GO:0044249,GO:1901605,GO:1901607,GO:0009987,GO:0006082,GO:0019752,GO:0006520,GO:0071704,GO:0044238,GO:0044237,GO:0006796,GO:0006793
COG0301	GO:0005737,GO:0044424,GO:0044464,GO:0005623,GO:0005622
COG0396	GO:0006200,GO:0008152,GO:0009987,GO:0046434,GO:0009166,GO:0009167,GO:0044281,GO:0009161,GO:0046130,GO:1901360,GO:0009169,GO:0044710,GO:0009199,GO:0042454,GO:0009207,GO:0009205,GO:0009203,GO:0046034,GO:0046128,GO:0046483,GO:0009164,GO:1901564,GO:1901565,GO:0034641,GO:0006163,GO:0019637,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0006807,GO:0006195,GO:1901575,GO:1901361,GO:0009150,GO:0009158,GO:0009154,GO:0046700,GO:0009261,GO:0019439,GO:0034655,GO:0044270,GO:1901292,GO:0006753,GO:0044248,GO:0009128,GO:0009123,GO:0009126,GO:0009259,GO:0009125,GO:0006139,GO:0042278,GO:0006725,GO:0055086,GO:1901136,GO:1901135,GO:0019693,GO:0072521,GO:0072523,GO:0071704,GO:0006152,GO:0009117,GO:0009116,GO:0009119,GO:0009056,GO:0044238,GO:0044237,GO:1901657,GO:0006796,GO:0006793,GO:1901658,GO:0006810,GO:0051234,GO:0051179
COG3590	GO:0044464,GO:0005623
COG0498	GO:0008152,GO:0044710,GO:0009987,GO:0071704,GO:0044237,GO:0006520,GO:0044281,GO:0043436,GO:1901564,GO:0006807,GO:0006082,GO:0019752,GO:0044238,GO:1901576,GO:0044249,GO:0009058,GO:0044283,GO:0044711,GO:0016053,GO:0046394,GO:1901605,GO:0008652,GO:1901566,GO:0009067,GO:0009066,GO:1901607,GO:0009088,GO:0006566
COG2344	GO:0005737,GO:0044424,GO:0044464,GO:0005623,GO:0005622
COG2740	NA
COG3663	GO:0044464,GO:0005623,GO:0005622,GO:0044424
COG3935	NA
COG0357	GO:0044464,GO:0005623,GO:0005737,GO:0005622,GO:0044424
COG1338	GO:0016020,GO:0016021,GO:0044425,GO:0031224
COG0804	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737
ENOG410XR0E	GO:0005576
