peptide	countNS	countWS
GO:0047484	14	36
GO:0008409	49	122
GO:0019988	8	21
GO:0071951	8	21
GO:0004479	8	21
GO:0001968	145	354
GO:0004325	13	33
GO:0004494	172	419
GO:0010941	37	91
GO:0009265	31	76
GO:0046385	31	76
GO:0015949	51	124
GO:0009088	61	148
GO:0000099	9	23
GO:0004072	14	35
GO:0016721	59	143
GO:0005518	287	690
GO:0071453	22	54
GO:1903785	51	123
GO:1903714	51	123
GO:0015829	51	123
GO:0015818	51	123
GO:0004340	23	56
GO:0042435	10	25
GO:0046219	10	25
GO:0000162	10	25
GO:1901682	10	25
GO:0047480	10	25
GO:0010562	183	433
GO:0045937	183	433
GO:0004040	52	124
GO:0004616	39	93
GO:0030956	49	116
GO:0042940	52	123
GO:0006768	58	137
GO:0051129	29	69
GO:0009264	64	150
GO:0015850	30	71
GO:0006145	21	50
GO:0046177	40	94
GO:0030246	900	2086
GO:0051181	38	89
GO:0015939	12	29
GO:0016149	35	82
GO:0008079	35	82
GO:0003747	35	82
GO:0050878	144	333
GO:1902531	23	54
GO:0009966	23	54
GO:0043067	37	86
GO:0008982	116	266
GO:0004736	122	279
GO:0006089	86	197
GO:0042941	50	115
GO:0015808	50	115
GO:0019521	42	96
GO:1903805	50	114
GO:1903806	50	114
GO:0046491	50	114
GO:0004493	50	114
GO:0047553	50	114
GO:0018491	50	114
GO:0004222	120	270
GO:0019264	45	102
GO:0004372	45	102
GO:0008173	41	93
GO:0004743	148	332
GO:0009506	21	48
GO:0005911	21	48
GO:0004784	57	128
GO:0046812	216	480
GO:1901661	13	30
GO:1901663	13	30
GO:0009233	13	30
GO:0009234	13	30
GO:0004674	29	65
GO:0009073	75	166
GO:0046689	35	78
GO:0060548	36	80
GO:0090502	73	161
GO:0043069	36	80
GO:0004521	73	161
GO:1990641	220	482
GO:0072523	26	58
GO:0042981	37	82
GO:0046176	44	97
GO:0042136	52	114
GO:0019323	29	64
GO:0008170	17	38
GO:0098704	18	40
GO:0098708	18	40
GO:1904659	18	40
GO:0046323	18	40
GO:0015761	18	40
GO:0015578	18	40
GO:0022870	18	40
GO:0098743	512	1098
GO:0098630	512	1098
GO:1903981	29	63
GO:0004347	69	148
GO:0019520	46	99
GO:0003333	92	196
GO:2001070	17	37
GO:0046437	29	62
GO:0048585	133	280
GO:0004497	86	181
GO:0030139	22	47
GO:0010447	531	1107
GO:0043066	36	76
GO:0042538	531	1106
GO:0006972	532	1108
GO:0016703	86	180
GO:0016701	87	182
GO:0050567	114	238
GO:0009067	217	452
GO:1904482	38	80
GO:1904481	38	80
GO:0004084	40	84
GO:0030388	189	392
GO:0016895	14	30
GO:0034618	14	30
GO:0004529	14	30
GO:0008443	59	123
GO:0009262	166	343
GO:0009268	540	1109
GO:0006772	21	44
GO:0042181	21	44
GO:0042723	21	44
GO:0042724	21	44
GO:0009228	21	44
GO:0043547	45	93
GO:0043087	45	93
GO:0002020	360	732
GO:0098739	76	155
GO:0070905	39	80
GO:1901530	74	150
GO:0080134	158	319
GO:0048583	185	373
GO:0071475	311	624
GO:0071468	311	624
GO:0071474	312	625
GO:0019695	17	35
GO:0019321	33	67
GO:0046100	37	75
GO:0097708	24	49
GO:0031410	24	49
GO:0008879	13	27
GO:0043811	17	35
GO:0008757	77	155
GO:0090529	250	498
GO:0000910	170	338
GO:0043093	170	338
GO:0051174	230	456
GO:0019220	230	456
GO:0071470	318	630
GO:0009405	999	1976
GO:0005615	299	592
GO:0009401	307	606
GO:0016798	148	292
GO:0089718	58	115
GO:0043090	58	115
GO:0071472	317	624
GO:0071467	317	624
GO:0051258	112	221
GO:0104004	321	631
GO:0071214	321	631
GO:0015807	72	142
GO:0006423	23	46
GO:0004817	23	46
GO:0044427	21	42
GO:0009651	592	1153
GO:0042426	17	34
GO:0033265	17	34
GO:0044764	285	555
GO:0030054	32	63
GO:0032784	63	123
GO:0043900	76	148
GO:0035375	363	703
GO:0032153	150	291
GO:0019276	27	53
GO:0019277	27	53
GO:0008760	27	53
GO:0022402	303	585
GO:0006970	602	1161
GO:0052654	38	74
GO:0052655	38	74
GO:0052656	38	74
GO:0032506	259	498
GO:0008986	34	66
GO:0006166	68	131
GO:0044093	211	404
GO:0000917	239	455
GO:0009114	18	35
GO:0004550	18	35
GO:0046113	26	50
GO:0008998	26	50
GO:0019171	17	33
GO:0008659	17	33
GO:0047451	17	33
GO:0019899	849	1603
GO:0004018	31	59
GO:0008716	31	59
GO:0070626	31	59
GO:0006435	72	135
GO:0004829	72	135
GO:0044419	1721	3202
GO:0050715	539	1002
GO:0050707	539	1002
GO:0001817	539	1002
GO:0001819	539	1002
GO:0032757	539	1002
GO:0032677	539	1002
GO:2000482	539	1002
GO:2000484	539	1002
GO:0008901	73	136
GO:0016695	73	136
GO:0016699	73	136
GO:0070201	547	1010
GO:0051046	547	1009
GO:0004854	18	34
GO:0051222	547	1008
GO:0051223	547	1008
GO:0050714	547	1008
GO:0050708	547	1008
GO:0090087	547	1008
GO:1904951	547	1008
GO:1903532	547	1008
GO:1903530	547	1008
GO:0051047	547	1008
GO:0002791	547	1008
GO:0002793	547	1008
GO:0050418	30	56
GO:0016842	36	67
GO:0032880	553	1014
GO:1902410	248	455
GO:1903047	248	455
GO:0006556	57	105
GO:0046500	57	105
GO:0005971	57	105
GO:0004478	57	105
GO:0018580	86	158
GO:0007586	22	41
GO:0044045	254	464
GO:0033293	129	236
GO:0009051	76	139
GO:1902475	69	125
GO:1990837	63	114
GO:0044650	563	1012
GO:0051704	2542	4564
GO:0051050	563	1008
GO:0051049	569	1018
GO:0044406	566	1012
GO:0045862	192	343
GO:0016757	461	819
GO:0010756	191	339
GO:0010755	191	339
GO:1903319	191	339
GO:1903317	191	339
GO:0010954	191	339
GO:0070613	191	339
GO:0004672	87	154
GO:0042327	173	304
GO:0008720	31	55
GO:0006523	26	46
GO:0009079	26	46
GO:0072562	37	65
GO:0019103	52	91
GO:0051239	850	1465
GO:0044044	287	495
GO:0030955	204	352
GO:1903862	171	295
GO:0045981	171	295
GO:1900544	171	295
GO:1903580	171	295
GO:0051156	255	438
GO:0031420	205	352
GO:0046084	40	69
GO:0046083	40	69
GO:0005618	2230	3807
GO:0030312	2230	3807
GO:0097501	84	144
GO:1990170	84	144
GO:1990169	84	144
GO:0043096	35	60
GO:0009986	1734	2923
GO:0016465	300	506
GO:1990220	300	506
GO:0101031	300	506
GO:0060590	37	63
GO:0060589	37	63
GO:0000774	37	63
GO:0001510	65	110
GO:0046156	24	41
GO:0019354	24	41
GO:0016773	705	1185
GO:0016151	64	108
GO:0015976	98	165
GO:0008774	98	165
GO:0044036	390	653
GO:0043254	57	96
GO:0009451	241	403
GO:0046436	26	44
GO:0046145	26	44
GO:0046144	26	44
GO:0030632	26	44
GO:0015893	150	250
GO:0046915	61	102
GO:0062023	37	62
GO:0061745	227	377
GO:0071266	54	90
GO:0002098	39	65
GO:0009263	116	192
GO:1903825	121	199
GO:1905039	121	199
GO:0043650	339	556
GO:0050661	696	1140
GO:0045226	86	141
GO:0046379	86	141
GO:0046655	64	105
GO:0000272	80	131
GO:0047429	26	43
GO:0009274	331	540
GO:0004618	227	370
GO:0044038	377	613
GO:0070589	377	613
GO:0035150	68	111
GO:0050880	68	111
GO:0003013	68	111
GO:0003018	68	111
GO:0004177	299	485
GO:0019003	233	378
GO:0019856	206	334
GO:0034701	38	62
GO:0045148	38	62
GO:0004845	78	126
GO:0019626	60	97
GO:0015144	245	394
GO:0098656	141	227
GO:0001895	37	60
GO:0009758	49	79
GO:0060249	39	63
GO:0034219	246	394
GO:0006206	211	338
GO:0044068	330	527
GO:0009275	330	527
GO:0044651	330	526
GO:0010339	330	526
GO:0044426	330	526
GO:0001067	75	120
GO:0044212	75	120
GO:0005743	294	468
GO:0001894	38	61
GO:0019200	144	229
GO:0046688	114	181
GO:0042594	380	600
GO:0016783	60	95
GO:0000976	62	98
GO:0004614	106	167
GO:0051240	750	1178
GO:0015171	78	123
GO:0008763	43	68
GO:0004658	59	93
GO:0016881	190	298
GO:0035821	473	741
GO:0051817	438	686
GO:0030060	155	243
