peptide	countNS	countWS
GO:0003697	0.000438868	0.000537708
GO:0003983	0.000681997	0.00082922
GO:0051748	0.000681997	0.00082922
GO:0004013	0.000203794	0.000247244
GO:0016801	0.000203794	0.000247244
GO:0016802	0.000203794	0.000247244
GO:0051539	0.000739412	0.000870512
GO:0016775	0.000845052	0.000981123
GO:0008276	0.000730256	0.000846414
GO:0008757	0.000730256	0.000846414
GO:0046025	0.000730256	0.000846414
GO:0008081	0.000464738	0.000534513
GO:0004824	9.19e-05	0.000104812
GO:0016741	0.00346241	0.00394061
GO:0016852	0.000737039	0.000826811
GO:0051119	0.000970177	0.001086547
GO:0016779	0.00287279	0.003216135
GO:0042578	0.000645909	0.000719525
GO:0016887	0.005390338	0.006002561
GO:0016840	0.003624098	0.003953796
GO:0016661	0.000249477	0.000271737
GO:0008199	0.007222315	0.007848725
GO:0016722	0.007338896	0.007942925
GO:0004854	0.0001304	0.000139
GO:0018492	0.0001304	0.000139
GO:0051537	0.0001304	0.000139
GO:0034618	0.001781385	0.001889035
GO:0004672	0.000477857	0.000506637
GO:0016743	0.001875452	0.001982296
GO:0008817	0.000295553	0.000309479
GO:0004373	0.000105953	0.000110945
GO:0009011	0.000105953	0.000110945
GO:0046527	0.000105953	0.000110945
GO:0004750	0.000231833	0.000241874
GO:0015166	0.000357929	0.000372278
GO:0015169	0.000357929	0.000372278
GO:0015430	0.000357929	0.000372278
GO:0015665	0.000357929	0.000372278
GO:1901618	0.000357929	0.000372278
GO:0003899	0.0001962	0.0002033
GO:0034062	0.0001962	0.0002033
GO:0004435	0.000293638	0.000301141
GO:0004620	0.000293638	0.000301141
GO:0004629	0.000293638	0.000301141
GO:0016298	0.000293638	0.000301141
GO:0008168	0.001405755	0.001439623
GO:0004820	7.6e-05	7.77e-05
GO:0003729	0.002927886	0.002990792
GO:0003993	0.000181171	0.000185012
GO:0016791	0.000181171	0.000185012
GO:0015105	0.000119247	0.000121775
GO:0003755	0.000958639	0.000942574
GO:0016859	0.000958639	0.000942574
GO:0000175	7.41e-05	7.16e-05
GO:0004532	7.41e-05	7.16e-05
GO:0004654	7.41e-05	7.16e-05
GO:0008026	7.41e-05	7.16e-05
GO:0016796	7.41e-05	7.16e-05
GO:0016896	7.41e-05	7.16e-05
GO:0070035	7.41e-05	7.16e-05
GO:0020037	0.000167029	0.000161357
GO:0008235	0.000201021	0.000194194
GO:0016597	0.003993849	0.003855266
GO:0031406	0.003993849	0.003855266
GO:0004070	0.00068716	0.000661277
GO:0009055	0.004254287	0.004069172
GO:0004814	0.000414915	0.000388481
GO:0004386	0.00021718	0.000202075
GO:0008237	0.000943082	0.000875332
GO:0004616	0.00118569	0.001098115
GO:0016841	0.003309467	0.003025704
GO:0003678	0.00014308	0.000130475
GO:0008379	0.000763093	0.000695866
GO:0015098	0.000230546	0.000210235
GO:0015412	0.000230546	0.000210235
GO:0004022	0.001725616	0.001573584
GO:0004372	0.000675499	0.000593209
GO:0008509	0.00060169	0.000524494
GO:0015103	0.00060169	0.000524494
GO:0016773	0.003702263	0.0031597
GO:0008940	0.000145485	0.0001229
GO:0030151	0.000145485	0.0001229
GO:0008797	0.002167358	0.001811458
GO:0043225	0.000482443	0.000402719
GO:0019200	0.000915956	0.000755362
GO:0003684	0.000147579	0.000120803
GO:0043565	0.000521046	0.00042651
GO:0004148	0.000116581	9.42e-05
GO:0016152	0.000116581	9.42e-05
GO:0016668	0.000116581	9.42e-05
GO:0016723	0.000116581	9.42e-05
GO:0004397	0.000254765	0.000205769
GO:0045548	0.000254765	0.000205769
GO:0008986	0.000464507	0.00036884
GO:0016781	0.000464507	0.00036884
GO:0050242	0.000464507	0.00036884
