id	countNS	countWS
GO:0004792	1.87311869598127	9
GO:0090614	1.87311869598127	9
GO:0016661	1.87311869598127	9
GO:0008793	1.87311869598127	9
GO:0004565	9.36559347990635	35
GO:0008295	10.302152827897	38
GO:0009097	149.849495678502	514
GO:0006461	2.80967804397191	12
GO:0004721	2.80967804397191	12
GO:0004350	2.80967804397191	12
GO:0005351	13.1118308718689	47
GO:0022877	13.1118308718689	47
GO:0016310	23.4139836997659	82
GO:0052587	18.7311869598127	65
GO:0055129	4.68279673995318	18
GO:0004354	5.61935608794381	21
GO:0004765	7.49247478392508	27
GO:0031176	7.49247478392508	27
GO:0043094	34.6526958756535	115
GO:0008973	34.6526958756535	115
GO:0004148	63.6860356633632	205
GO:0009229	7.49247478392508	26
GO:0006275	5.61935608794381	20
GO:0004385	5.61935608794381	20
