id	gos
GO:0004152	GO:0004152
GO:0008986	GO:0008986
GO:0052654	GO:0052654
GO:0052655	GO:0052655
GO:0052656	GO:0052656
GO:0006002	GO:0006002
GO:0009401	GO:0009401
GO:0016149	GO:0016149
GO:0046429	GO:0046429
GO:0009982	GO:0009982
GO:0050661	GO:0050661
GO:0043093	GO:0043093
GO:0006166	GO:0006166
GO:0008761	GO:0008761
GO:0006556	GO:0006556
GO:0004478	GO:0004478
GO:0007586	GO:0007586
GO:0050567	GO:0050567
GO:0018580	GO:0018580
GO:0006914	GO:0006914
GO:0047151	GO:0047151
GO:0030698	GO:0030698
GO:0047480	GO:0047480
GO:0033014	GO:0033014
GO:0016463	GO:0016463
GO:0050605	GO:0050605
GO:0008901	GO:0008901
GO:0005315	GO:0005315
GO:0006400	GO:0006400
GO:0004040	GO:0004040
GO:0004845	GO:0004845
GO:0032153	GO:0032153
GO:0032784	GO:0032784
GO:0004817	GO:0004817
GO:0046654	GO:0046654
GO:0019354	GO:0019354
GO:0003866	GO:0003866
GO:0003855	GO:0003855
GO:0050110	GO:0050110
GO:0004518	GO:0004518
GO:0046416	GO:0046416
GO:0050418	GO:0050418
GO:0016722	GO:0016722
GO:0006423	GO:0006423
GO:0004618	GO:0004618
GO:0004655	GO:0004655
GO:0048500	GO:0048500
GO:0008312	GO:0008312
GO:0051258	GO:0051258
GO:0016765	GO:0016765
GO:0051304	GO:0051304
GO:0034765	GO:0034765
GO:0008788	GO:0008788
GO:0017049	GO:0017049
GO:0009040	GO:0009040
GO:0006223	GO:0006223
GO:0006270	GO:0006270
GO:0031460	GO:0031460
GO:0004129	GO:0004129
GO:0016994	GO:0016994
GO:0004222	GO:0004222
GO:0004658	GO:0004658
GO:0009267	GO:0009267
GO:0006435	GO:0006435
GO:0004829	GO:0004829
GO:0016993	GO:0016993
GO:0008483	GO:0008483
GO:0008774	GO:0008774
GO:0004072	GO:0004072
GO:0003952	GO:0003952
GO:0033817	GO:0033817
GO:0004492	GO:0004492
GO:0004056	GO:0004056
GO:0008767	GO:0008767
GO:0070043	GO:0070043
GO:0008976	GO:0008976
GO:0004614	GO:0004614
GO:0016998	GO:0016998
GO:0051609	GO:0051609
GO:0042147	GO:0042147
GO:0043564	GO:0043564
GO:0005815	GO:0005815
GO:0005663	GO:0005663
GO:0008171	GO:0008171
GO:0042162	GO:0042162
GO:0015238	GO:0015238
GO:0016154	GO:0016154
GO:0090729	GO:0090729
GO:0046789	GO:0046789
GO:0003689	GO:0003689
GO:0004450	GO:0004450
GO:0008242	GO:0008242
GO:0047154	GO:0047154
GO:0018160	GO:0018160
GO:0015940	GO:0015940
GO:0000105	GO:0000105
GO:0045892	GO:0045892
GO:0000015	GO:0000015
GO:0004634	GO:0004634
GO:0016832	GO:0016832
GO:0004553	GO:0004553
GO:0043531	GO:0043531
GO:0016151	GO:0016151
GO:0009986	GO:0009986
GO:0003942	GO:0003942
GO:0004073	GO:0004073
GO:0051604	GO:0051604
GO:0015299	GO:0015299
GO:0046537	GO:0046537
GO:0019277	GO:0019277
GO:0008760	GO:0008760
GO:0008716	GO:0008716
GO:0004018	GO:0004018
GO:0070626	GO:0070626
GO:0009156	GO:0009156
GO:0006006	GO:0006006
GO:0016462	GO:0016462
GO:0102500	GO:0102500
GO:0033727	GO:0033727
GO:0004190	GO:0004190
GO:0047429	GO:0047429
GO:0009898	GO:0009898
GO:0009002	GO:0009002
GO:0008033	GO:0008033
GO:0042803	GO:0042803
GO:0006109	GO:0006109
GO:0008728	GO:0008728
GO:0016668	GO:0016668
GO:0003986	GO:0003986
GO:0047952	GO:0047952
GO:0036439	GO:0036439
GO:0008763	GO:0008763
GO:0004477	GO:0004477
GO:0004851	GO:0004851
GO:0044206	GO:0044206
GO:0004008	GO:0004008
GO:0009236	GO:0009236
GO:0019251	GO:0019251
GO:0016852	GO:0016852
GO:0003917	GO:0003917
GO:0046167	GO:0046167
GO:0019028	GO:0019028
GO:0007062	GO:0007062
GO:0006268	GO:0006268
GO:0046961	GO:0046961
GO:0044238	GO:0044238
GO:0016857	GO:0016857
GO:0003908	GO:0003908
GO:0006635	GO:0006635
GO:0004604	GO:0004604
GO:0016627	GO:0016627
GO:0043953	GO:0043953
GO:0009288	GO:0009288
GO:0033281	GO:0033281
GO:0033786	GO:0033786
GO:0033785	GO:0033785
GO:0004298	GO:0004298
GO:0004645	GO:0004645
GO:0046982	GO:0046982
GO:0017076	GO:0017076
GO:0004611	GO:0004611
GO:0008320	GO:0008320
GO:0030163	GO:0030163
GO:0008795	GO:0008795
GO:0042026	GO:0042026
GO:0047553	GO:0047553
GO:0006096	GO:0006096
GO:0051082	GO:0051082
GO:0004318	GO:0004318
GO:0010124	GO:0010124
GO:0055070	GO:0055070
GO:0042398	GO:0042398
GO:0019882	GO:0019882
GO:1905515	GO:1905515
GO:0006378	GO:0006378
GO:0042372	GO:0042372
GO:0006123	GO:0006123
GO:0006122	GO:0006122
GO:0031338	GO:0031338
GO:0090630	GO:0090630
GO:0019441	GO:0019441
GO:0043280	GO:0043280
GO:0030321	GO:0030321
GO:0051924	GO:0051924
GO:0050908	GO:0050908
GO:0032780	GO:0032780
GO:0019543	GO:0019543
GO:0019594	GO:0019594
GO:0006120	GO:0006120
GO:0039663	GO:0039663
GO:0051056	GO:0051056
GO:0070507	GO:0070507
GO:0055001	GO:0055001
GO:0032456	GO:0032456
GO:0042613	GO:0042613
GO:0005801	GO:0005801
GO:0031471	GO:0031471
GO:0012505	GO:0012505
GO:0071339	GO:0071339
GO:0034707	GO:0034707
GO:0031519	GO:0031519
GO:0030870	GO:0030870
GO:0044165	GO:0044165
GO:0008738	GO:0008738
GO:0052692	GO:0052692
GO:0004788	GO:0004788
GO:0003886	GO:0003886
GO:0046523	GO:0046523
GO:0003987	GO:0003987
GO:0033712	GO:0033712
GO:0017137	GO:0017137
GO:0045155	GO:0045155
GO:0008999	GO:0008999
GO:0043130	GO:0043130
GO:0005254	GO:0005254
GO:0042030	GO:0042030
GO:0008980	GO:0008980
GO:0008926	GO:0008926
GO:0015099	GO:0015099
GO:0016742	GO:0016742
GO:0008726	GO:0008726
GO:0004526	GO:0004526
GO:0015416	GO:0015416
GO:0004520	GO:0004520
GO:0008773	GO:0008773
GO:0004485	GO:0004485
GO:0102025	GO:0102025
GO:0009375	GO:0009375
GO:0003978	GO:0003978
GO:0004367	GO:0004367
GO:0050193	GO:0050193
GO:0004045	GO:0004045
GO:0008817	GO:0008817
GO:0008853	GO:0008853
GO:0070084	GO:0070084
GO:0033925	GO:0033925
GO:0006457	GO:0006457
GO:0019897	GO:0019897
GO:0006231	GO:0006231
GO:0061711	GO:0061711
GO:0004799	GO:0004799
GO:0003961	GO:0003961
GO:0004854	GO:0004854
GO:0004749	GO:0004749
GO:0016840	GO:0016840
GO:0030490	GO:0030490
GO:0008780	GO:0008780
GO:0016798	GO:0016798
GO:0045263	GO:0045263
GO:0008448	GO:0008448
GO:0004386	GO:0004386
GO:0047905	GO:0047905
GO:0005623	GO:0005623
GO:1903494	GO:1903494
GO:1903496	GO:1903496
GO:0032570	GO:0032570
GO:0032355	GO:0032355
GO:0060416	GO:0060416
GO:0005796	GO:0005796
GO:0042626	GO:0042626
GO:0043768	GO:0043768
GO:0006650	GO:0006650
GO:0009305	GO:0009305
GO:0009190	GO:0009190
GO:0015129	GO:0015129
GO:0016849	GO:0016849
GO:0009225	GO:0009225
GO:0070062	GO:0070062
GO:0004516	GO:0004516
GO:0015562	GO:0015562
GO:0004473	GO:0004473
GO:0006508	GO:0006508
GO:0051301	GO:0051301
GO:0009058	GO:0009058
GO:0031564	GO:0031564
GO:0045148	GO:0045148
GO:0007049	GO:0007049
GO:0030001	GO:0030001
GO:0046168	GO:0046168
GO:0005882	GO:0005882
GO:0009234	GO:0009234
GO:0008289	GO:0008289
GO:0006817	GO:0006817
GO:0019546	GO:0019546
GO:0008935	GO:0008935
GO:0000310	GO:0000310
GO:0042450	GO:0042450
GO:0004077	GO:0004077
GO:0004022	GO:0004022
GO:0008654	GO:0008654
GO:0005993	GO:0005993
GO:0004798	GO:0004798
GO:0090529	GO:0090529
GO:0006464	GO:0006464
GO:0015079	GO:0015079
GO:0044209	GO:0044209
GO:0006438	GO:0006438
GO:0004832	GO:0004832
GO:0004017	GO:0004017
GO:0006879	GO:0006879
GO:0006936	GO:0006936
GO:0032012	GO:0032012
GO:0019439	GO:0019439
GO:0010629	GO:0010629
GO:0006452	GO:0006452
GO:0051083	GO:0051083
GO:0000054	GO:0000054
GO:0005869	GO:0005869
GO:0003879	GO:0003879
GO:0005086	GO:0005086
GO:0051060	GO:0051060
GO:0005216	GO:0005216
GO:0004748	GO:0004748
GO:0009318	GO:0009318
GO:0008855	GO:0008855
GO:0006437	GO:0006437
GO:0004831	GO:0004831
GO:0019516	GO:0019516
GO:0006518	GO:0006518
GO:0005615	GO:0005615
GO:0004418	GO:0004418
GO:0007155	GO:0007155
GO:0008168	GO:0008168
GO:0008940	GO:0008940
GO:0030788	GO:0030788
GO:0004588	GO:0004588
GO:0071555	GO:0071555
GO:0004355	GO:0004355
GO:0004826	GO:0004826
GO:0009146	GO:0009146
GO:0006265	GO:0006265
GO:0008199	GO:0008199
GO:0016774	GO:0016774
GO:1990077	GO:1990077
GO:0002949	GO:0002949
GO:0006425	GO:0006425
GO:0004819	GO:0004819
GO:0044208	GO:0044208
GO:0046034	GO:0046034
GO:0006415	GO:0006415
GO:0005694	GO:0005694
GO:0016614	GO:0016614
GO:0004642	GO:0004642
